id,interest_name,interest_summary,created_at,last_modified
1,Fitness Enthusiasts,Consumers using fitness tracking apps and websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
2,Gamers,Consumers researching game reviews and cheat codes.,2016-05-26 14:57:59,2018-05-23 11:30:12
3,Car Enthusiasts,Readers of automotive news and car reviews.,2016-05-26 14:57:59,2018-05-23 11:30:12
4,Luxury Retail Researchers,Consumers researching luxury product reviews and gift ideas.,2016-05-26 14:57:59,2018-05-23 11:30:12
5,Brides & Wedding Planners,People researching wedding ideas and vendors.,2016-05-26 14:57:59,2018-05-23 11:30:12
6,Vacation Planners,Consumers reading reviews of vacation destinations and accommodations.,2016-05-26 14:57:59,2018-05-23 11:30:13
7,Motorcycle Enthusiasts,Readers of motorcycle news and reviews.,2016-05-26 14:57:59,2018-05-23 11:30:13
8,Business News Readers,Readers of online business news content.,2016-05-26 14:57:59,2018-05-23 11:30:12
12,Thrift Store Shoppers,Consumers shopping online for clothing at thrift stores and researching locations.,2016-05-26 14:57:59,2018-03-16 13:14:00
13,Advertising Professionals,People who read advertising industry news.,2016-05-26 14:57:59,2018-05-23 11:30:12
14,NFL Fans,People reading articles and websites about football and the NFL.,2016-05-26 14:57:59,2018-05-23 11:30:13
15,NBA Fans,People reading articles and websites about basketball and the NBA.,2016-05-26 14:57:59,2018-05-23 11:30:13
16,NCAA Fans,People reading articles and websites about college sports and the NCAA.,2016-05-26 14:57:59,2018-05-23 11:30:13
17,MLB Fans,People reading articles and websites about baseball and the MLB.,2016-05-26 14:57:59,2018-05-23 11:30:13
18,Nascar Fans,People reading articles and websites about nascar.,2016-05-26 14:57:59,2018-05-23 11:30:13
19,Eco-Conscious Consumers,People researching climate change and sustainable living.,2016-05-26 14:57:59,2018-05-23 11:30:12
20,Moviegoers,Consumers researching box office listings and buying movie tickets.,2016-05-26 14:57:59,2018-05-23 11:30:13
21,DIYers,Consumers researching DIY projects.,2016-05-26 14:57:59,2018-05-23 11:30:12
22,Grill Masters,Grill owners researching new recipes.,2016-05-26 14:57:59,2018-05-23 11:30:12
23,Techies,Readers of tech news and gadget reviews.,2016-05-26 14:57:59,2018-05-23 11:30:13
24,Home Design Enthusiasts,Consumers researching home design styles and trends.,2016-05-26 14:57:59,2018-05-23 11:30:12
25,Doctors,People reading medical journals and using online prescribing services.,2016-05-26 14:57:59,2018-05-23 11:30:12
26,Streaming Video Fans,Consumers streaming feature length movies and TV shows.,2016-05-26 14:57:59,2018-05-23 11:30:13
27,Auto Insurance Shoppers,Consumers shopping for auto insurance.,2016-05-26 14:57:59,2018-05-23 11:30:12
28,Teachers,People reading education industry publications and teaching advice websites.,2016-05-26 14:57:59,2018-05-23 11:30:13
29,College Students,People visiting university websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
30,Department Store Shoppers,Consumes shopping at multi-category department stores.,2016-05-26 14:57:59,2018-05-23 11:30:12
31,Home Decor Shoppers,"Consumers shopping for home design, art and accessories.",2016-05-26 14:57:59,2018-05-23 11:30:12
33,Kids Clothing Shoppers,Consumers shopping for childrens apparel.,2016-05-26 14:57:59,2018-05-23 11:30:12
34,Teen Girl Clothing Shoppers,Consumers in-market for clothing for teenage girls.,2016-05-26 14:57:59,2018-05-23 11:30:13
35,Mens Clothing Shoppers,Consumers in-market for mens clothing.,2016-05-26 14:57:59,2018-05-23 11:30:13
36,Baby Products Buyers,Consumers shopping for baby-related products.,2016-05-26 14:57:59,2018-05-23 11:30:12
37,Jewelry & Watch Shoppers,Consumers researching high-end watch and jewelry brands.,2016-05-26 14:57:59,2018-05-23 11:30:12
38,Sporting Goods Shoppers,Consumers shopping for sporting goods and activewear apparel.,2016-05-26 14:57:59,2018-05-23 11:30:13
39,Furniture Shoppers,Consumers shopping for major home furnishings.,2016-05-26 14:57:59,2018-05-23 11:30:12
40,Bed & Bath Shoppers,Consumers shopping for bed and bath products.,2016-05-26 14:57:59,2018-05-23 11:30:12
41,Intimates Shoppers,Consumers shopping for lingerie.,2016-05-26 14:57:59,2018-05-23 11:30:12
42,Fast Fashion Shoppers,Consumers shopping for apparel that mimics current runway trends.,2016-05-26 14:57:59,2018-05-23 11:30:12
43,Apartment Hunters,People reading real estate rental listings.,2016-05-26 14:57:59,2018-05-23 11:30:12
44,Home Buyers,People reading real estate sales listings.,2016-05-26 14:57:59,2018-05-23 11:30:12
45,Moving Services Shoppers,Consumers who are shopping for moving services.,2016-05-26 14:57:59,2018-05-23 11:30:13
46,Job Seekers,People researching job boards.,2016-05-26 14:57:59,2018-05-23 11:30:12
48,Charitable Donors,People researching major charitable organizations.,2016-05-26 14:57:59,2018-05-23 11:30:12
49,NHL Fans,People reading articles and websites about hockey and the NHL.,2016-05-26 14:57:59,2018-05-23 11:30:13
50,Discount Big Box Shoppers,Consumers shopping at big box retailers.,2016-05-26 14:57:59,2018-05-23 11:30:12
